No.,Time,Source,Destination,Protocol,Length,Info,Tam paquete
12,0.007007187,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
13,0.014563362,127.0.0.1,127.0.0.1,UDP,114,37154  >  4444 Len=70,70
14,0.025882455,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
15,0.038729095,127.0.0.1,127.0.0.1,UDP,104,37154  >  4444 Len=60,60
16,0.044081841,127.0.0.1,127.0.0.1,UDP,112,37154  >  4444 Len=68,68
17,0.059141921,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
18,0.064262957,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
19,0.072172963,127.0.0.1,127.0.0.1,UDP,112,37154  >  4444 Len=68,68
20,0.084276246,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
21,0.086532722,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
22,0.086545362,127.0.0.1,127.0.0.1,UDP,101,37154  >  4444 Len=57,57
23,0.087990486,127.0.0.1,127.0.0.1,UDP,100,37154  >  4444 Len=56,56
24,0.088165962,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
25,0.094765568,127.0.0.1,127.0.0.1,UDP,112,37154  >  4444 Len=68,68
26,0.105661899,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
27,0.111843240,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
28,0.114155722,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
29,0.118700821,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
30,0.123173911,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
31,0.129506770,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
32,0.141182148,127.0.0.1,127.0.0.1,UDP,102,37154  >  4444 Len=58,58
33,0.142529786,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
34,0.147340879,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
35,0.151383420,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
36,0.162371641,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
37,0.173358727,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
38,0.183294005,127.0.0.1,127.0.0.1,UDP,104,37154  >  4444 Len=60,60
39,0.185277436,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
40,0.196313520,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
41,0.207412758,127.0.0.1,127.0.0.1,UDP,104,37154  >  4444 Len=60,60
42,0.212173900,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
43,0.223242238,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
