"No.","Time","Source","Destination","Protocol","Length","Info"
"12","0.007282496","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"13","0.017672392","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"14","0.028318222","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"15","0.043188033","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"16","0.053422244","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"17","0.063744400","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"18","0.075721966","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"19","0.095680083","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"20","0.106023316","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"21","0.118233078","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"22","0.135999410","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"23","0.146091480","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"24","0.158204295","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"25","0.170198676","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"26","0.185968223","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"27","0.196202404","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"28","0.208900369","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"29","0.224401892","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"30","0.235904677","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"31","0.250503915","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"32","0.261203296","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"33","0.273748567","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"34","0.285916322","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"35","0.304525345","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"36","0.315954905","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"37","0.333715290","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"38","0.346040228","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"39","0.358246949","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"40","0.376057160","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"41","0.386325054","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"42","0.396655622","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"43","0.406927814","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"44","0.417347150","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"45","0.442435057","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"46","0.455933828","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"47","0.468584294","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"48","0.485100153","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"49","0.495500342","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"50","0.505807868","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"51","0.521670217","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
"52","0.536003441","127.0.0.1","127.0.0.1","UDP","136","47332  >  4444 Len=92"
