N?,Time,Src,Dest,Protocol,Length,Info,Time dif,Data length,Bitrate
196,59.236801588,172.217.16.226,192.168.1.132,TLSv1.3,646,"Application Data, Application Data",0.001198412000001,575,479801
207,59.238628614,172.217.16.226,192.168.1.132,TLSv1.3,97,Application Data,0.001827026000001,26,14230
208,59.244052481,172.217.16.226,192.168.1.132,TLSv1.3,646,"Application Data, Application Data",0.005423866999998,575,106012
209,59.244063172,172.217.16.226,192.168.1.132,TLSv1.3,97,Application Data,1.06909999999516E-05,26,2431952
212,59.256056272,172.217.16.226,192.168.1.132,TLSv1.3,646,"Application Data, Application Data",0.011993100000005,575,47944
213,59.256084419,172.217.16.226,192.168.1.132,TLSv1.3,97,Application Data,2.81469999947603E-05,26,923721
218,59.261906833,172.217.16.226,192.168.1.132,TLSv1.3,805,Application Data,0.005822414000001,734,126064
219,59.261937674,172.217.16.226,192.168.1.132,TLSv1.3,399,Application Data,3.08410000045001E-05,328,10635193
220,59.261942755,172.217.16.226,192.168.1.132,TLSv1.3,287,Application Data,5.0809999976309E-06,216,42511316
221,59.261948028,172.217.16.226,192.168.1.132,TLSv1.3,105,Application Data,5.27299999930619E-06,34,6447942
232,59.269426651,172.217.16.226,192.168.1.132,TLSv1.3,805,Application Data,0.007478623000004,734,98146
233,59.269447895,172.217.16.226,192.168.1.132,TLSv1.3,266,Application Data,2.12439999955905E-05,195,9179062
234,59.2694544,172.217.16.226,192.168.1.132,TLSv1.3,319,Application Data,6.50500000176635E-06,248,38124519
235,59.269461397,172.217.16.226,192.168.1.132,TLSv1.3,105,Application Data,6.99699999984205E-06,34,4859225
240,59.278386887,172.217.16.226,192.168.1.132,TLSv1.3,737,Application Data,0.008925490000003,666,74617
241,59.278412148,172.217.16.226,192.168.1.132,TLSv1.3,97,Application Data,2.52609999975562E-05,26,1029254
242,59.278418523,172.217.16.226,192.168.1.132,TLSv1.3,105,Application Data,6.37499999811553E-06,34,5333333
294,59.810609694,172.217.16.226,192.168.1.132,TLSv1.3,646,"Application Data, Application Data",0.532191171000001,575,1080
299,59.810897502,172.217.16.226,192.168.1.132,TLSv1.3,97,Application Data,0.000287808000003,26,90338
304,59.837889661,172.217.16.226,192.168.1.132,TLSv1.3,805,Application Data,0.026992158999995,734,27193
305,59.837905386,172.217.16.226,192.168.1.132,TLSv1.3,1484,Application Data,1.57250000043518E-05,1413,89856915
306,59.837911769,172.217.16.226,192.168.1.132,TLSv1.3,3443,"Application Data, Application Data, Application Data",6.38299999877745E-06,3372,528278239
307,59.837914824,172.217.16.226,192.168.1.132,TLSv1.3,334,Application Data,3.05500000052916E-06,263,86088379
308,59.837916329,172.217.16.226,192.168.1.132,TLSv1.3,105,Application Data,1.50500000017928E-06,34,22591362
353,60.144434041,172.217.16.226,192.168.1.132,TLSv1.3,315,Application Data,0.306517711999994,244,796
354,60.14691755,172.217.16.226,192.168.1.132,TLSv1.3,97,Application Data,0.002483509000001,26,10469
355,60.146921593,172.217.16.226,192.168.1.132,TLSv1.3,105,Application Data,4.04300000411695E-06,34,8409596
477,61.83380851,172.217.16.226,192.168.1.132,TLSv1.3,143,Application Data,1.686886917,72,42
478,61.833831625,172.217.16.226,192.168.1.132,TLSv1.3,139,Application Data,2.31150000047364E-05,68,2941812
479,61.833835482,172.217.16.226,192.168.1.132,TLSv1.3,97,Application Data,3.85699999583267E-06,26,6740990
480,61.833838255,172.217.16.226,192.168.1.132,TLSv1.3,105,Application Data,2.77300000561809E-06,34,12261089
,,,,,,,,,
,,,,,,,0.083814034806452,,
,,,,,,,,,
,,,,,,,,Average,28378084
,,,,,,,,,
,,,,,,,,Max,528278239
